name,vaccination_age,doses,lab,sus,required,description,image
BCG,0,1,TRUE,TRUE,TRUE,"Proteção contra as formas graves da tuberculose, doença contagiosa, produzida por bactéria que atinge principalmente os pulmões e que, se não tratada, pode provocar sérios problemas respiratórios, emagrecimento, fraqueza e até levar à morte. A tuberculose é transmitida de pessoa a pessoa pelo ar, por meio de tosse, espirro ou fala. Os principais sintomas são febre ao final do dia, tosse, fraqueza, cansaço e perda de peso.",bcg.png
Hepatite B,0,1,TRUE,TRUE,TRUE,"Proteção contra a Hepatite B, doença causada por um vírus e que provoca malestar, febre baixa, dor de cabeça, fadiga, dor abdominal, náuseas, vômitos e aversão a alguns alimentos. O doente fica com a pele amarelada. A Hepatite B é grave porque pode levar a uma infecção crônica (permanente) do fígado e, na idade adulta, ao câncer de fígado.",hepatiteb1.png
Pentavalente,2,1,TRUE,TRUE,TRUE,"A vacina Pentavalente é uma vacina combinada do tipo injetável. Ela é uma união da vacina Tetravalente com a vacina Hepatite B, ou seja, a partir de agora ao invés de duas aplicações será necessário apenas uma injeção para que se imunize a criança contra as cinco doenças cobertas pela vacina.",penta1.png
VIP/VOP,2,1,TRUE,TRUE,TRUE,"Proteção contra a poliomielite ou paralisia infantil, doença contagiosa, provocada por vírus e caracterizada por paralisia súbita geralmente nas pernas. A transmissão ocorre pelo contato direto com pessoas ou contato com fezes de pessoas contaminadas, ou ainda contato com água e alimentos contaminados.",vipvopgota.png
Pneumococica conjugada,2,1,TRUE,TRUE,TRUE,"A SBIm recomenda, a partir dos 2 meses de idade e sempre que possível, o uso preferencial da VPC13, com o intuito de ampliar a proteção para os três sorotipos adicionais em relação à VPC10. No entanto, quando isso não for possível, crianças menores de 6 anos com esquema completo ou incompleto de VPC10 podem se beneficiar com dose(s) adicional(is) de VPC13, respeitando-se a recomendação de bula para cada idade de início e o intervalo mínimo de dois meses da dose anterior da VPC10. O PNI adotou, desde janeiro de 2016, o esquema de duas doses da VPC10 aos 2 e 4 meses de vida, com reforço aos 12 meses. A SBIm mantém a recomendação de três doses quando utilizada a VPC13: aos 2, 4 e 6 meses de vida com reforço entre 12 e 15 meses.",pneumococica1.png
Rotavirus,2,1,TRUE,TRUE,TRUE,"O rotavírus é um vírus da família Reoviridae que causa diarreia grave, frequentemente acompanhada de febre e vômitos. É, hoje, considerado um dos mais importantes agentes causadores de gastroenterites e óbitos em crianças menores de 5 anos, em todo o mundo. A maioria das crianças se infecta nos primeiros anos de vida, porém os casos mais graves ocorrem principalmente em crianças até 2 anos de idade. Esta é uma vacina constituída por vírus vivos atenuados, que protege contra as gastroenterites causadas pelo rotavírus. Sua aplicação é via oral, em duas doses. A vacina é indicada para prevenção de gastroenterites graves por esse tipo de vírus, mas não protege contra diarreia causada por outros agentes.",rotavirus1.png
Meningococica C,3,1,TRUE,TRUE,TRUE,"A vacina é utilizada para prevenir as doenças provocadas pela bactéria Neisseria meningitidis do sorogrupo C, esta bactéria pode ser a causa de infecções graves, as vezes, ate fatais, como a meningite e a sepse. A vacinação é considerada a forma mais eficaz na prevenção desses problemas e a vacina está incluída no Programa Nacional de Imunizações do Ministério da Saúde.",meningococica1.png
Pentavalente,4,2,TRUE,TRUE,TRUE,"A vacina Pentavalente é uma vacina combinada do tipo injetável. Ela é uma união da vacina Tetravalente com a vacina Hepatite B, ou seja, a partir de agora ao invés de duas aplicações será necessário apenas uma injeção para que se imunize a criança contra as cinco doenças cobertas pela vacina.",penta2.png
VIP/VOP,4,2,TRUE,TRUE,TRUE,"Proteção contra a poliomielite ou paralisia infantil, doença contagiosa, provocada por vírus e caracterizada por paralisia súbita geralmente nas pernas. A transmissão ocorre pelo contato direto com pessoas ou contato com fezes de pessoas contaminadas, ou ainda contato com água e alimentos contaminados.",vipvop1.png
Pneumococica conjugada,4,2,TRUE,TRUE,TRUE,"A SBIm recomenda, a partir dos 2 meses de idade e sempre que possível, o uso preferencial da VPC13, com o intuito de ampliar a proteção para os três sorotipos adicionais em relação à VPC10. No entanto, quando isso não for possível, crianças menores de 6 anos com esquema completo ou incompleto de VPC10 podem se beneficiar com dose(s) adicional(is) de VPC13, respeitando-se a recomendação de bula para cada idade de início e o intervalo mínimo de dois meses da dose anterior da VPC10. O PNI adotou, desde janeiro de 2016, o esquema de duas doses da VPC10 aos 2 e 4 meses de vida, com reforço aos 12 meses. A SBIm mantém a recomendação de três doses quando utilizada a VPC13: aos 2, 4 e 6 meses de vida com reforço entre 12 e 15 meses.",pneumococica2.png
Rotavirus,4,2,TRUE,TRUE,TRUE,"O rotavírus é um vírus da família Reoviridae que causa diarreia grave, frequentemente acompanhada de febre e vômitos. É, hoje, considerado um dos mais importantes agentes causadores de gastroenterites e óbitos em crianças menores de 5 anos, em todo o mundo. A maioria das crianças se infecta nos primeiros anos de vida, porém os casos mais graves ocorrem principalmente em crianças até 2 anos de idade. Esta é uma vacina constituída por vírus vivos atenuados, que protege contra as gastroenterites causadas pelo rotavírus. Sua aplicação é via oral, em duas doses. A vacina é indicada para prevenção de gastroenterites graves por esse tipo de vírus, mas não protege contra diarreia causada por outros agentes.",rotavirus2.png
